State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,0,2000,2,27,7800.0,4000.0
Maharashtra,0,2000,2,32,94700.0,135800.0
Maharashtra,0,2000,3,7,11000.0,18300.0
Maharashtra,0,2000,3,27,200.0,100.0
Maharashtra,0,2000,4,26,67100.0,5163900.0
Maharashtra,0,2001,1,0,16700.0,5400.0
Maharashtra,0,2001,1,1,194400.0,82000.0
Maharashtra,0,2001,1,3,200.0,100.0
Maharashtra,0,2001,1,4,13500.0,16700.0
Maharashtra,0,2001,1,7,5700.0,4500.0
Maharashtra,0,2001,1,8,200.0,100.0
Maharashtra,0,2001,1,10,6400.0,9800.0
Maharashtra,0,2001,1,12,21000.0,3600.0
Maharashtra,0,2001,1,13,2200.0,400.0
Maharashtra,0,2001,1,17,8900.0,2200.0
Maharashtra,0,2001,1,19,4600.0,7000.0
Maharashtra,0,2001,1,21,7300.0,4100.0
Maharashtra,0,2001,1,23,800.0,300.0
Maharashtra,0,2001,1,24,1400.0,900.0
Maharashtra,0,2001,1,25,7600.0,9000.0
Maharashtra,0,2001,1,27,8600.0,2900.0
Maharashtra,0,2001,1,31,4500.0,900.0
Maharashtra,0,2001,2,5,60000.0,33100.0
Maharashtra,0,2001,2,8,528900.0,175000.0
Maharashtra,0,2001,2,9,1300.0,300.0
Maharashtra,0,2001,2,10,12300.0,22600.0
Maharashtra,0,2001,2,15,800.0,400.0
Maharashtra,0,2001,2,20,100.0,10.0
Maharashtra,0,2001,2,22,27400.0,11700.0
Maharashtra,0,2001,2,23,200.0,10.0
Maharashtra,0,2001,2,24,6000.0,2900.0
Maharashtra,0,2001,2,27,5400.0,7000.0
Maharashtra,0,2001,2,32,93800.0,156300.0
Maharashtra,0,2001,3,7,11000.0,17200.0
Maharashtra,0,2001,3,10,1500.0,2100.0
Maharashtra,0,2001,3,27,100.0,100.0
Maharashtra,0,2001,4,26,52000.0,3596300.0
Maharashtra,0,2002,1,0,14600.0,5700.0
Maharashtra,0,2002,1,1,218400.0,158900.0
Maharashtra,0,2002,1,3,100.0,10.0
Maharashtra,0,2002,1,4,10800.0,8300.0
Maharashtra,0,2002,1,7,5800.0,4000.0
Maharashtra,0,2002,1,8,100.0,100.0
Maharashtra,0,2002,1,10,7000.0,12300.0
Maharashtra,0,2002,1,12,21000.0,10100.0
Maharashtra,0,2002,1,13,2600.0,700.0
Maharashtra,0,2002,1,17,13600.0,2400.0
Maharashtra,0,2002,1,19,4600.0,3900.0
Maharashtra,0,2002,1,21,7400.0,1700.0
Maharashtra,0,2002,1,23,1300.0,200.0
Maharashtra,0,2002,1,24,3400.0,1300.0
Maharashtra,0,2002,1,25,15100.0,18800.0
Maharashtra,0,2002,1,27,9300.0,3500.0
Maharashtra,0,2002,1,31,4700.0,2200.0
Maharashtra,0,2002,2,5,64500.0,26500.0
Maharashtra,0,2002,2,8,494900.0,117300.0
Maharashtra,0,2002,2,9,1000.0,200.0
Maharashtra,0,2002,2,10,11700.0,9100.0
Maharashtra,0,2002,2,15,600.0,200.0
Maharashtra,0,2002,2,20,100.0,10.0
Maharashtra,0,2002,2,22,24700.0,7800.0
Maharashtra,0,2002,2,23,100.0,10.0
Maharashtra,0,2002,2,24,1700.0,400.0
Maharashtra,0,2002,2,27,4200.0,1800.0
Maharashtra,0,2002,2,32,70400.0,88500.0
Maharashtra,0,2002,3,7,5800.0,9900.0
Maharashtra,0,2002,3,10,1100.0,1800.0
Maharashtra,0,2002,4,26,49400.0,3303000.0
Maharashtra,0,2003,1,0,9000.0,3000.0
Maharashtra,0,2003,1,1,204100.0,70800.0
Maharashtra,0,2003,1,4,10400.0,10400.0
Maharashtra,0,2003,1,7,4200.0,2600.0
Maharashtra,0,2003,1,8,100.0,200.0
Maharashtra,0,2003,1,10,6700.0,6400.0
Maharashtra,0,2003,1,12,8800.0,2500.0
Maharashtra,0,2003,1,13,2100.0,600.0
Maharashtra,0,2003,1,17,10700.0,1600.0
Maharashtra,0,2003,1,33,100.0,0.0
Maharashtra,0,2003,1,19,4600.0,3700.0
Maharashtra,0,2003,1,21,7600.0,5900.0
Maharashtra,0,2003,1,23,700.0,200.0
Maharashtra,0,2003,1,24,1300.0,400.0
Maharashtra,0,2003,1,25,17900.0,18500.0
Maharashtra,0,2003,1,27,7500.0,2000.0
Maharashtra,0,2003,1,31,3500.0,1800.0
Maharashtra,0,2003,2,5,50900.0,20500.0
Maharashtra,0,2003,2,8,478300.0,55100.0
Maharashtra,0,2003,2,9,800.0,200.0
Maharashtra,0,2003,2,10,10500.0,5400.0
Maharashtra,0,2003,2,15,200.0,0.0
Maharashtra,0,2003,2,20,200.0,100.0
Maharashtra,0,2003,2,22,20300.0,3400.0
Maharashtra,0,2003,2,23,100.0,100.0
